Trea Turner,0.375,LAD/WSH
Frank Schwinde,0.371,OAK/CHC
Yuli Gurriel,0.383,HOU
Juan Soto,0.465,WSH
Michael Brantley,0.362,HOU
Vladimir Guerrero,0.401,TOR
Bryce Harper,0.429,PHI
Tim Anderson,0.338,CHW
Nick Castellanos,0.362,CIN
Starling Marte,0.381,OAK/MIA
Adam Frazier,0.368,PIT/SD
Austin Riley,0.367,ATL
Bryan Reynolds,0.39,PIT
Freddie Freeman,0.393,ATL/LAD
Nicky Lopez,0.365,KC
Bo Bichette,0.343,TOR
Brandon Crawford,0.373,SF
Teoscar Hernandez,0.346,TOR
Xander Bogaerts,0.37,BOS
Kyle Tucker,0.359,HOU
Paul Goldschmidt,0.365,STL
Ty France,0.368,SEA
Cedric Mullins,0.36,BAL
Jean Segura,0.348,PHI
Alex Verdugo,0.351,BOS
Wander Franco,0.347,TB
Aaron Judge,0.373,NYY
Tyler O'Neill,0.352,STL
J.D. Martinez,0.349,BOS
Fernando Tatis Jr,0.364,SD
Amed Rosario,0.321,CLE
C.J. Cron,0.375,COL
Carlos Correa,0.366,HOU
Josh Harrison,0.341,OAK/WSH
Rafael Devers,0.352,BOS
Manny Machado,0.347,SD
Jonathan Schoop,0.32,DET
Justin Turner,0.361,LAD
Yordan Alvarez,0.346,HOU
Jose Altuve,0.35,HOU
Jared Walsh,0.34,LAA
Whit Merrifield,0.317,KC
Lourdes Gurriel Jr,0.319,TOR
Andrew Benintendi,0.324,KC
Randy Arozarena,0.356,TB
Raimel Tapia,0.327,COL
J.P. Crawford,0.338,SEA
Salvador Perez,0.316,KC
Giancarlo Stanton,0.354,NYY
Myles Straw,0.349,CLE/HOU
Jose Iglesias,0.309,BOS/LAA
Jeimer Candelario,0.351,DET
Isiah Kiner-Falefa,0.312,TEX
Matt Olson,0.371,OAK
Charlie Blackmon,0.351,COL
Eric Hosmer,0.337,SD
Jonathan India,0.376,CIN
Jorge Polanco,0.323,MIN
DJ LeMahieu,0.349,NYY
Pavin Smith,0.328,ARI
Jake Cronenworth,0.34,SD
Jose Ramirez,0.355,CLE
Dylan Carlson,0.343,STL
Joey Votto,0.375,CIN
Marcus Semien,0.334,TOR
Nelson Cruz,0.334,MIN/TB
Kris Bryant,0.353,CHC/SF
Javier Baez,0.319,CHC
Miguel Rojas,0.322,MIA
Josh Rojas,0.341,ARI
Mookie Betts,0.367,LAD
Nathaniel Lowe,0.357,TEX
Yoan Moncada,0.375,CHW
Kyle Farmer,0.316,CIN
J.T. Realmuto,0.343,PHI
Avisail Garcia,0.33,MIL
Tommy Edman,0.308,STL
Pete Alonso,0.344,NYM
David Fletcher,0.297,LAA
Willy Adames,0.337,MIL/TB
Jose Abreu,0.351,CHW
Josh Bell,0.347,WSH
Jesus Aguilar,0.329,MIA
Gleyber Torres,0.331,NYY
Ozzie Albies,0.31,ATL
Hunter Renfroe,0.315,BOS
David Peralta,0.325,ARI
Shohei Ohtani,0.372,LAA
Miguel Cabrera,0.316,DET
Austin Hays,0.308,BAL
Yandy Diaz,0.353,TB
Trey Mancini,0.326,BAL
Ryan Mountcastle,0.309,BAL
Nolan Arenado,0.312,STL
Chris Taylor,0.344,LAD
Ryan McMahon,0.331,COL
Mitch Haniger,0.318,SEA
Eduardo Escobar,0.314,ARI/MIL
Trevor Story,0.329,COL
Enrique Hernandez,0.337,BOS